"","seg_id_beg","seg_id_end","lat","lon","night_flag","landcover","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rough","cn_unc","cn_pho","toc_pho","cn_flag","sub_cn_flag1","sub_cn_flag2","sub_cn_flag3","sub_cn_flag4","sub_cn_flag5","ls_flag","beam","filename","year","month","day","hhmmss"
"78597",362322,362326,65.1429061889648,-147.3955078125,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,46,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78598",362327,362331,65.143798828125,-147.395751953125,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,67,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78599",362332,362336,65.1446914672852,-147.395980834961,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,32,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78600",362337,362341,65.1455841064453,-147.396224975586,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,21,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78601",362342,362346,65.1464767456055,-147.396453857422,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,83,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78602",362347,362351,65.1473693847656,-147.396697998047,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,38,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78603",362352,362356,65.1482620239258,-147.396926879883,0,8,5.87707185745239,14.7545318603516,14.7545318603516,4.36683654785156,2.22206115722656,4.36683654785156,7.75895690917969,8.09492492675781,9.68368530273438,9.79777526855469,10.2238616943359,12.6742706298828,14.7083740234375,4.26198577880859,0.96994811296463,1.76282858848572,24,3,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78604",362357,362361,65.1491546630859,-147.397171020508,0,8,3.62978029251099,12.3833160400391,12.3833160400391,0.96673583984375,0.689529418945312,0.96673583984375,2.37515258789062,5.63435363769531,6.04412841796875,6.43179321289062,8.73393249511719,10.0146484375,11.0641021728516,3.88252878189087,0,1.8078328371048,20,1,1,1,0,1,1,0,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78605",362362,362366,65.1500473022461,-147.397415161133,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,0,0,1,0,0,0,0,0,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78606",362367,362371,65.1509399414062,-147.397659301758,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,16,0,1,0,0,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
